title,price,location,rooms,size_sqm,url
PROVISIONSFREI - Modernes wohnen am Donauufer mit Donaublick!,€ 448.400,"Wien, 20. Bezirk, Brigittenau",3,63,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-mit-donaublick-2030521851/
PROVISIONSFREI - Modernes wohnen am Donauufer mit Donaublick!,€ 528.100,"Wien, 20. Bezirk, Brigittenau",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-mit-donaublick-1392355129/
PROVISIONSFREI - Modernes wohnen am Donauufer mit Donaublick!,€ 477.000,"Wien, 20. Bezirk, Brigittenau",3,63,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-mit-donaublick-1476812792/
PROVISIONSFREI - Modernes wohnen am Donauufer mit Donaublick!,€ 448.400,"Wien, 20. Bezirk, Brigittenau",3,63,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/provisionsfrei-modernes-wohnen-am-donauufer-mit-donaublick-2030521851/
Traumhafte 3 Zimmer-Wohnung mit Loggia - WG-tauglich,€ 498.000,"Wien, 02. Bezirk, Leopoldstadt",3,78,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/traumhafte-3-zimmer-wohnung-mit-loggia-wg-tauglich-1702479560/
Charmante Wohnung mit Loggia in sehr guter Lage,€ 333.333,"Wien, 20. Bezirk, Brigittenau",3,85,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/charmante-wohnung-mit-loggia-in-sehr-guter-lage-1746143833/
3 Zimmer Altbau zum Sanieren,€ 269.000,"Wien, 09. Bezirk, Alsergrund",3,60,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1090-alsergrund/3-zimmer-altbau-zum-sanieren-1164028971/
3-Zimmerwohnung Nähe WU und Prater!,€ 290.000,"Wien, 02. Bezirk, Leopoldstadt",3,71,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/3-zimmerwohnung-naehe-wu-und-prater-989317082/
Sanierungsbedürftige 3-Zimmerwohnung Nähe Prater,€ 298.000,"Wien, 02. Bezirk, Leopoldstadt",3,71,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/sanierungsbeduerftige-3-zimmerwohnung-naehe-prater-1701002069/
PREISHIT: Terrassenwohnung Nähe Augarten!,€ 299.000,"Wien, 20. Bezirk, Brigittenau",3,71,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/preishit-terrassenwohnung-naehe-augarten-1530646781/
Sanierungsbedürftige Wohnung zwischen Prater und Donauinsel gelegen!,€ 280.000,"Wien, 02. Bezirk, Leopoldstadt",3,70,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/sanierungsbeduerftige-wohnung-zwischen-prater-und-donauinsel-gelegen-1749708914/
Sanierungsbedürftiger Stilaltbau mit Balkonoption!,€ 459.000,"Wien, 02. Bezirk, Leopoldstadt",3,98,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/sanierungsbeduerftiger-stilaltbau-mit-balkonoption-830510702/
Altbauwohnung zwischen Prater und Donaukanal gelegen!,€ 285.000,"Wien, 02. Bezirk, Leopoldstadt",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/altbauwohnung-zwischen-prater-und-donaukanal-gelegen-2139729007/
Altbauwohnung Nähe Prater und Donaukanal,€ 299.000,"Wien, 02. Bezirk, Leopoldstadt",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/altbauwohnung-naehe-prater-und-donaukanal-1856658258/
Erstbezug: sanierte Wohnung mit Parkblick!,€ 510.000,"Wien, 04. Bezirk, Wieden",3,66,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/erstbezug-sanierte-wohnung-mit-parkblick-1055529380/
Leibenfrostgasse 8 - Zwischen Sehnsucht und Realität,€ 459.000,"Wien, 04. Bezirk, Wieden",3,71,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/leibenfrostgasse-8-zwischen-sehnsucht-und-realitaet-1730031007/
PARKBLICK - 4.Liftstock - 3 Zimmer - ca. 84m² NFL - Loggia - U-Bahn,€ 479.000,"Wien, 20. Bezirk, Brigittenau",3,84,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/parkblick-4-liftstock-3-zimmer-ca-84m-nfl-loggia-u-bahn-898561470/
Attraktive 3-Zimmer-Wohnung in hervorragender Lage mit Top-Infrastruktur,€ 549.000,"Wien, 03. Bezirk, Landstraße",3,96,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/attraktive-3-zimmer-wohnung-in-hervorragender-lage-mit-top-infrastruktur-1421212644/
"Stilvolle 3-Zimmer-Altbauwohnung mit Fußbodenheizung, sehr niedrigen Betriebskosten & attraktivem Preis !",€ 445.000,"Wien, 20. Bezirk, Brigittenau",3,75,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/stilvolle-3-zimmer-altbauwohnung-mit-fussbodenheizung-sehr-niedrigen-betriebskosten-attraktivem-preis-1926846307/
"TOP INVESTMENTCHANCE - HOFLAGE, TOP-BK & OPTION AUF ZWEITE UND DRITTE EINHEIT",€ 359.000,"Wien, 06. Bezirk, Mariahilf",3,72,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1060-mariahilf/top-investmentchance-hoflage-top-bk-option-auf-zweite-und-dritte-einheit-1920608629/
***LICHTDURCHFLUTETE FAMILIENWOHNUNG - WG-EIGNUNG**,€ 499.900,"Wien, 06. Bezirk, Mariahilf",3,98,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1060-mariahilf/-lichtdurchflutete-familienwohnung-wg-eignung-1762886695/
Tolle 3 Zimmer Wohnung in super Lage! Jetzt Anfragen und Beratungstermin vereinbaren!,€ 449.000,"Wien, 04. Bezirk, Wieden",3,68,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1040-wieden/tolle-3-zimmer-wohnung-in-super-lage-jetzt-anfragen-und-beratungstermin-vereinbaren-1126770785/
Modern sanierte Wohnung nahe Donau & Millennium City,€ 329.000,"Wien, 20. Bezirk, Brigittenau",3,60,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/modern-sanierte-wohnung-nahe-donau-millennium-city-1278194843/
TOP 3-Zimmer-Altbauwohnung beim Praterstern,€ 449.000,"Wien, 02. Bezirk, Leopoldstadt",3,77,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/top-3-zimmer-altbauwohnung-beim-praterstern-2002680746/
Wiener Altbauflair nach Maß - Ihre Wunschwohnung nahe Donaukanal,€ 439.000,"Wien, 02. Bezirk, Leopoldstadt",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/wiener-altbauflair-nach-mass-ihre-wunschwohnung-nahe-donaukanal-960607588/
Befristet vermietet: Sanierte 3-Zimmer-Wohnung im 4. Liftstock,€ 420.000,"Wien, 03. Bezirk, Landstraße",3,65,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/befristet-vermietet-sanierte-3-zimmer-wohnung-im-4-liftstock-1569211225/
Lichtdurchfluteter 3-Zimmer-Erstbezug mit südwestseitiger Loggia,€ 485.000,"Wien, 05. Bezirk, Margareten",3,60,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/lichtdurchfluteter-3-zimmer-erstbezug-mit-suedwestseitiger-loggia-2104135902/
Optimal geschnittener 3-Zimmer-Erstbezug in generalsaniertem Stilaltbau,€ 525.000,"Wien, 05. Bezirk, Margareten",3,62,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/optimal-geschnittener-3-zimmer-erstbezug-in-generalsaniertem-stilaltbau-1804923169/
**Hannovermarkt** Sanierungsbedürftige 3-Zimmer Altbauwohnung - Airbnb,€ 259.000,"Wien, 20. Bezirk, Brigittenau",3,66,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/-hannovermarkt-sanierungsbeduerftige-3-zimmer-altbauwohnung-airbnb-1358145905/
++NEU++ Exklusive 3-Zimmer Altbauwohnung mit bewilligtem Balkon und High-End Ausstattung in TOP-Location im 9. Bezirk!,€ 439.000,"Wien, 09. Bezirk, Alsergrund",3,61,https://www.willhaben.at/iad/immobilien/eigentumswohnung/immobilien/d/eigentumswohnung/wien/wien-1090-alsergrund/-neu-exklusive-3-zimmer-altbauwohnung-mit-bewilligtem-balkon-und-high-end-ausstattung-in-top-location-im-9-bezirk-1403956855/
